Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20260115,,55000.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260122,,141000.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260127,,73649.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260203,,40000.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260113,,200000.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260114,,100000.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260113,,6660.0,,,,,DEPOSIT
MUU,175.0,2026/02/06,11:14 EST,5.6399994,165.0,178.37,160.3432,2053797,20260203,216.05,1.0,0.0,,,,
285A.T,19095.0,2026/02/06,15:30 JST,-435.0,18700.0,19765.0,18280.0,34703800,20260114,13875.0,2.0,0.0,,,,
285A.T,19095.0,2026/02/06,15:30 JST,-435.0,18700.0,19765.0,18280.0,34703800,20260203,20390.0,1.0,0.0,,,,
285A.T,19095.0,2026/02/06,15:30 JST,-435.0,18700.0,19765.0,18280.0,34703800,20260203,20155.0,1.0,0.0,,,,
MAGS,62.72,2026/02/06,11:14 EST,-0.15499878,62.81,62.82,62.03,3630595,20260127,65.6,10.0,0.0,,,,
ONDS,9.29,2026/02/06,11:14 EST,0.8100004,8.965,9.36,8.45,42215771,20260127,11.185,15.0,0.0,,,,
ONDS,9.29,2026/02/06,11:14 EST,0.8100004,8.965,9.36,8.45,42215771,20260121,12.8292,45.0,0.0,,,,
COHR,221.605,2026/02/06,11:14 EST,12.464996,179.11,228.0,213.0,3001411,,,,,,,,
7974.T,8441.0,2026/02/06,15:30 JST,-341.0,8550.0,8617.0,8326.0,21426900,20260113,9979.0,10.0,0.0,,,,
3350.T,340.0,2026/02/06,15:30 JST,-20.0,309.0,342.0,307.0,44102400,,,,,,,,
7013.T,3946.0,2026/02/06,15:30 JST,241.0,3745.0,3959.0,3678.0,33612500,20260113,3540.0,27.0,0.0,,,,
7013.T,3946.0,2026/02/06,15:30 JST,241.0,3745.0,3959.0,3678.0,33612500,20260128,3479.0,3.0,0.0,,,,
7013.T,3946.0,2026/02/06,15:30 JST,241.0,3745.0,3959.0,3678.0,33612500,20260113,3483.0,3.0,0.0,,,,
7013.T,3946.0,2026/02/06,15:30 JST,241.0,3745.0,3959.0,3678.0,33612500,20260114,3484.0,17.0,0.0,,,,
603306.SS,77.4,2026/02/06,15:00 CST,-1.4300003,78.01,81.48,77.33,12959307,20260115,66.6,100.0,0.0,,,,